STATEFP,COUNTYFP,TRACTCE,GEOID,NAMELSAD,STCOUFP,FULLNAME,COUNAME,STNAME,STCOUNAME,Low_Response_Score,Mail_Return_Rate_CEN_2010,Tot_Population_ACS_12_16,Tot_Population_ACSMOE_12_16,Med_HHD_Inc_ACS_12_16,Med_HHD_Inc_ACSMOE_12_16,pct_Pop_under_5_ACS_12_16,pct_Pop_under_5_ACSMOE_12_16,pct_Pop_18_24_ACS_12_16,pct_Pop_18_24_ACSMOE_12_16,pct_Pop_65plus_ACS_12_16,pct_Pop_65plus_ACSMOE_12_16,pct_Prs_Blw_Pov_Lev_ACS_12_16,pct_Prs_Blw_Pov_Lev_ACSMOE_12_16,pct_Not_HS_Grad_ACS_12_16,pct_Not_HS_Grad_ACSMOE_12_16,pct_NH_Blk_alone_ACS_12_16,pct_NH_Blk_alone_ACSMOE_12_16,pct_NH_White_alone_ACS_12_16,pct_NH_White_alone_ACSMOE_12_16,pct_Hispanic_ACS_12_16,pct_Hispanic_ACSMOE_12_16,pct_NH_AIAN_alone_ACS_12_16,pct_NH_AIAN_alone_ACSMOE_12_16,pct_NH_Asian_alone_ACS_12_16,pct_NH_Asian_alone_ACSMOE_12_16,pct_NH_NHOPI_alone_ACS_12_16,pct_NH_NHOPI_alone_ACSMOE_12_16,pct_NH_SOR_alone_ACS_12_16,pct_NH_SOR_alone_ACSMOE_12_16,pct_Born_foreign_ACS_12_16,pct_Born_foreign_ACSMOE_12_16,pct_ENG_VW_ACS_12_16,pct_ENG_VW_ACSMOE_12_16,pct_Age5p_Spanish_ACS_12_16,pct_Age5p_Spanish_ACSMOE_12_16,pct_Age5p_Russian_ACS_12_16,pct_Age5p_Russian_ACSMOE_12_16,pct_Age5p_Chinese_ACS_12_16,pct_Age5p_Chinese_ACSMOE_12_16,pct_Age5p_Korean_ACS_12_16,pct_Age5p_Korean_ACSMOE_12_16,pct_Age5p_Vietnames_ACS_12_16,pct_Age5p_Vietnames_ACSMOE_12_16,pct_Age5p_Tagalog_ACS_12_16,pct_Age5p_Tagalog_ACSMOE_12_16,pct_Age5p_Arabic_ACS_12_16,pct_Age5p_Arabic_ACSMOE_12_16,Tot_Housing_Units_ACS_12_16,Tot_Housing_Units_ACSMOE_12_16,Tot_Occp_Units_ACS_12_16,Tot_Occp_Units_ACSMOE_12_16,pct_Renter_Occp_HU_ACS_12_16,pct_Renter_Occp_HU_ACSMOE_12_16,pct_Rel_Under_6_ACS_12_16,pct_Rel_Under_6_ACSMOE_12_16,pct_Diff_HU_1yr_Ago_ACS_12_16,pct_Diff_HU_1yr_Ago_ACSMOE_12_16,pct_Vacant_Units_ACS_12_16,pct_Vacant_Units_ACSMOE_12_16,pct_MLT_U10p_ACS_12_16,pct_MLT_U10p_ACSMOE_12_16,pcat_all,pcat_10x1,OBJECTID
48,39,662500,48039662500,Census Tract 6625,48039,"Census Tract 6625, Brazoria County, TX",Brazoria County,Texas,"Brazoria County, Texas",20.6,82.9,2805,238,72130.0,19648.0,4.42,1.96,7.56,2.0,14.05,2.94,7.98,5.32,16.39,7.72,15.69,7.66,53.73,6.99,28.98,5.03,0.0,0.46,1.32,2.14,0.0,0.46,0.0,0.46,6.84,3.88,3.37,3.69,6.23,3.92,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,1018,61,920,72,22.93,8.17,15.49,7.93,8.18,5.7,9.63,4.98,2.26,3.14,5.0,3.0,366
48,39,664100,48039664100,Census Tract 6641,48039,"Census Tract 6641, Brazoria County, TX",Brazoria County,Texas,"Brazoria County, Texas",24.5,77.9,5717,548,50382.0,7265.0,4.48,1.79,8.48,2.33,11.65,1.86,13.15,5.31,24.54,6.38,4.15,2.58,50.18,6.54,43.45,8.28,0.0,0.31,0.19,0.33,0.0,0.31,0.0,0.31,16.95,5.96,3.82,3.09,11.55,4.57,0.0,0.33,0.0,0.33,0.2,0.35,0.0,0.33,0.0,0.33,0.0,0.33,2471,152,2096,158,24.62,6.52,21.75,7.6,11.59,6.29,15.18,5.01,4.98,3.14,4.0,2.0,367
48,39,664000,48039664000,Census Tract 6640,48039,"Census Tract 6640, Brazoria County, TX",Brazoria County,Texas,"Brazoria County, Texas",25.6,74.0,3717,467,43367.0,7058.0,6.4,3.04,8.26,3.7,13.56,3.36,18.35,7.76,23.68,8.25,10.84,5.26,34.71,5.33,52.25,11.0,0.0,0.35,0.0,0.35,0.0,0.35,0.38,0.81,11.35,4.57,7.25,5.22,13.37,5.37,0.0,0.37,0.0,0.37,0.0,0.37,0.0,0.37,0.0,0.37,0.0,0.37,1922,105,1324,151,34.59,9.07,24.23,8.72,10.94,6.4,31.11,6.44,22.42,6.44,4.0,3.0,368
48,39,660100,48039660100,Census Tract 6601,48039,"Census Tract 6601, Brazoria County, TX",Brazoria County,Texas,"Brazoria County, Texas",12.9,81.4,4641,373,98942.0,6768.0,5.21,1.74,7.65,2.47,15.94,1.22,1.9,1.48,5.01,2.38,4.31,3.78,74.9,6.79,13.21,3.35,0.0,0.28,2.54,2.25,0.0,0.28,0.0,0.28,7.37,4.29,1.95,2.38,1.5,1.18,0.0,0.3,0.45,0.7,0.0,0.3,0.0,0.3,0.23,0.34,0.0,0.3,1695,76,1637,88,7.88,3.64,17.59,6.4,5.61,2.88,3.42,3.06,0.0,0.77,5.0,4.0,369
48,39,662200,48039662200,Census Tract 6622,48039,"Census Tract 6622, Brazoria County, TX",Brazoria County,Texas,"Brazoria County, Texas",25.2,79.9,6577,622,64474.0,12166.0,4.42,2.27,11.87,3.65,9.5,1.39,3.62,2.75,15.85,3.99,10.22,4.54,58.87,5.57,29.53,5.73,0.29,0.44,1.09,1.15,0.0,0.27,0.0,0.27,5.58,3.07,3.86,3.53,4.18,2.85,0.0,0.29,0.0,0.29,0.0,0.29,0.52,0.81,0.0,0.29,0.0,0.29,2656,161,2256,204,37.54,8.19,14.4,8.2,15.71,4.18,15.06,7.32,18.64,7.56,5.0,4.0,370
48,39,662400,48039662400,Census Tract 6624,48039,"Census Tract 6624, Brazoria County, TX",Brazoria County,Texas,"Brazoria County, Texas",20.8,71.9,5447,362,66875.0,7412.0,4.81,1.32,5.89,2.15,13.84,2.87,7.8,3.41,15.94,5.16,2.64,1.42,76.02,4.81,19.09,5.75,0.0,0.33,0.13,0.22,0.0,0.33,0.0,0.33,4.77,2.25,2.04,2.53,3.95,1.62,0.0,0.35,0.0,0.35,0.0,0.35,0.0,0.35,0.0,0.35,0.0,0.35,2157,99,2012,106,34.24,7.54,18.96,5.78,7.23,2.77,6.72,3.28,7.19,3.37,4.0,3.0,371
48,39,661200,48039661200,Census Tract 6612,48039,"Census Tract 6612, Brazoria County, TX",Brazoria County,Texas,"Brazoria County, Texas",26.2,71.2,4054,420,40687.0,3609.0,8.31,3.75,17.27,5.64,10.36,2.89,20.55,7.15,14.01,6.3,1.55,1.35,65.61,5.48,30.76,7.3,0.59,0.76,0.99,1.11,0.0,0.32,0.0,0.32,9.69,4.68,2.9,3.75,6.73,4.48,0.0,0.35,0.0,0.35,0.0,0.35,0.51,0.83,0.0,0.35,0.0,0.35,1684,106,1517,125,63.94,8.75,30.28,10.71,27.5,8.6,9.92,6.08,12.83,5.04,4.0,4.0,372
48,39,661000,48039661000,Census Tract 6610,48039,"Census Tract 6610, Brazoria County, TX",Brazoria County,Texas,"Brazoria County, Texas",20.5,82.9,6664,729,69487.0,9955.0,7.77,2.72,9.59,2.31,16.1,2.36,6.96,5.27,16.79,5.93,0.21,0.37,50.86,4.55,44.28,8.71,0.44,0.61,2.9,2.67,0.0,0.27,0.0,0.27,17.08,6.75,2.43,2.15,9.18,4.11,0.0,0.29,0.0,0.29,0.0,0.29,0.0,0.29,0.0,0.29,0.0,0.29,2357,125,2181,155,10.32,5.45,24.68,9.85,5.75,3.91,7.47,4.22,0.0,0.76,4.0,3.0,373
48,39,663100,48039663100,Census Tract 6631,48039,"Census Tract 6631, Brazoria County, TX",Brazoria County,Texas,"Brazoria County, Texas",16.2,81.6,7286,910,104458.0,13119.0,3.07,1.36,5.63,1.91,13.96,1.29,6.22,4.15,10.14,2.84,11.79,3.85,58.76,9.26,25.86,5.52,0.21,0.31,2.39,1.63,0.0,0.25,0.14,0.21,8.37,3.02,2.96,2.6,4.19,2.04,0.35,0.34,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,2098,118,1995,138,5.91,3.74,15.45,7.08,15.71,6.34,4.91,3.8,0.0,0.86,5.0,4.0,374
48,39,662000,48039662000,Census Tract 6620,48039,"Census Tract 6620, Brazoria County, TX",Brazoria County,Texas,"Brazoria County, Texas",20.2,78.8,5475,555,56038.0,4433.0,6.5,2.9,5.48,2.59,18.59,4.26,17.63,6.62,15.34,4.22,7.43,5.46,67.54,6.45,22.9,4.27,0.68,1.09,0.49,0.64,0.0,0.33,0.0,0.33,7.4,3.05,1.7,2.13,7.33,2.83,0.0,0.35,0.0,0.35,0.0,0.35,0.0,0.35,0.0,0.35,0.0,0.35,2572,177,2062,188,16.68,5.37,19.03,8.48,10.51,5.43,19.83,6.47,8.75,4.67,5.0,2.0,375
